Territory_code,Plant_code,Brand_code,Package,Week_End_Date,Sum of Plan,fact,row_id
A,a,AC,TP 1.0,2023-02-03,1950.367033958435,71.85799957275391,A_a_AC_TP 1.0
A,a,AC,TP 1.0,2023-02-10,1860.627989768982,2740.980970153809,A_a_AC_TP 1.0
A,a,AC,TP 1.0,2023-02-17,3661.1969771385193,2142.981006393433,A_a_AC_TP 1.0
A,a,AC,TP 1.0,2023-02-24,6948.66509526968,8962.984021911621,A_a_AC_TP 1.0
A,a,AC,TP 1.0,2023-03-03,1033.9710257053375,65.51399923324585,A_a_AC_TP 1.0
A,a,AC,TP 1.0,2023-03-10,130.58700086548924,48.61200023651123,A_a_AC_TP 1.0
A,a,AC,TP 1.0,2023-03-17,18.984000213444236,50.72600008010864,A_a_AC_TP 1.0
A,a,AC,TP 1.0,2023-03-24,298.7449960708618,21.13999963760376,A_a_AC_TP 1.0
A,a,AC,TP 1.0,2023-03-31,429.1420124769211,0.01,A_a_AC_TP 1.0
A,a,AC,TP 1.0,2023-04-07,33.48400002717972,14.800999889373779,A_a_AC_TP 1.0
A,a,AC,TP 1.0,2023-04-14,33.48400002717972,27.48399997711182,A_a_AC_TP 1.0
A,a,AC,TP 1.0,2023-04-21,26.492000579833984,6.34899974822998,A_a_AC_TP 1.0
A,a,AC,TP 1.0,2023-04-28,26.492000579833984,10.57500005722046,A_a_AC_TP 1.0
A,a,AC,TP 1.0,2023-05-05,47.39500021934509,14.800999889373779,A_a_AC_TP 1.0
A,a,AC,TP 1.0,2023-05-12,37.6100001335144,6.34899974822998,A_a_AC_TP 1.0
A,a,AC,TP 1.0,2023-05-19,17.682999968528748,10.57500005722046,A_a_AC_TP 1.0
A,a,AC,TP 1.0,2023-05-26,16.450999855995178,12.688000450134275,A_a_AC_TP 1.0
A,a,AC,TP 1.0,2023-06-02,69.90099930763245,8.462000141143799,A_a_AC_TP 1.0
A,a,AC,TP 1.0,2023-06-09,45.239999890327454,183.8520023918152,A_a_AC_TP 1.0
A,a,AC,TP 1.0,2023-06-16,72.62999999523163,61.29600025177002,A_a_AC_TP 1.0
A,a,AC,TP 1.0,2023-06-23,47.26700043678284,23.25299955368042,A_a_AC_TP 1.0
A,a,AC,TP 1.0,2023-06-30,37.42099952697754,50.72399879455566,A_a_AC_TP 1.0
A,a,AC,TP 1.0,2023-07-07,92.32299998402596,21.139999160766603,A_a_AC_TP 1.0
A,a,AC,TP 1.0,2023-07-14,93.83600091934204,59.175000438690184,A_a_AC_TP 1.0
A,a,AC,TP 1.0,2023-07-21,91.81799903512,27.478999385833742,A_a_AC_TP 1.0
A,a,AC,TP 1.0,2023-07-28,113.53299880027772,61.28699899673462,A_a_AC_TP 1.0
A,a,AC,TP 1.0,2023-08-04,115.18500024080276,52.83599830627441,A_a_AC_TP 1.0
A,a,AC,TP 1.0,2023-08-11,109.8729993402958,54.95000005722046,A_a_AC_TP 1.0
A,a,AC,TP 1.0,2023-08-18,84.93000012636185,42.27099967956543,A_a_AC_TP 1.0
A,a,AC,TP 1.0,2023-08-25,82.91499871015549,27.479999790191652,A_a_AC_TP 1.0
A,a,AC,TP 1.0,2023-09-01,90.49800017476082,14.800999889373779,A_a_AC_TP 1.0
A,a,AC,TP 1.0,2023-09-08,162.2489990592003,38.04499937057495,A_a_AC_TP 1.0
A,a,AC,TP 1.0,2023-09-15,127.34400087594986,38.0439994430542,A_a_AC_TP 1.0
A,a,AC,TP 1.0,2023-09-22,111.91700035333632,50.721998462677,A_a_AC_TP 1.0
A,a,AC,TP 1.0,2023-09-29,143.96800020337105,61.29200101852417,A_a_AC_TP 1.0
A,a,AC,TP 1.0,2023-10-06,52.0,28.01,A_a_AC_TP 1.0
A,a,AC,TP 1.0,2023-10-13,52.0,26.01,A_a_AC_TP 1.0
A,a,AC,TP 1.0,2023-10-20,52.0,30.01,A_a_AC_TP 1.0
A,a,AC,TP 1.0,2023-10-27,46.0,45.01,A_a_AC_TP 1.0
A,a,AC,TP 1.0,2023-11-03,34.0,34.01,A_a_AC_TP 1.0
A,a,AC,TP 1.0,2023-11-10,36.0,8.01,A_a_AC_TP 1.0
A,a,AC,TP 1.0,2023-11-17,31.0,49.01,A_a_AC_TP 1.0
A,a,AC,TP 1.0,2023-11-24,29.0,57.01,A_a_AC_TP 1.0
A,a,AC,TP 1.0,2023-12-01,16.0,28.01,A_a_AC_TP 1.0
A,a,AC,TP 1.0,2023-12-08,40.0,45.01,A_a_AC_TP 1.0
A,a,AC,TP 1.0,2023-12-15,52.0,57.01,A_a_AC_TP 1.0
A,a,AC,TP 1.0,2023-12-22,37.0,125.01,A_a_AC_TP 1.0
A,a,AC,TP 1.0,2023-12-29,15.0,14.01,A_a_AC_TP 1.0
A,a,AC,TP 1.0,2024-01-05,82.0,20.01,A_a_AC_TP 1.0
A,a,AC,TP 1.0,2024-01-12,28.0,58.01,A_a_AC_TP 1.0
A,a,AC,TP 1.0,2024-01-19,31.0,42.01,A_a_AC_TP 1.0
A,a,AC,TP 1.0,2024-01-26,42.0,34.01,A_a_AC_TP 1.0
A,a,AC,TP 1.0,2024-02-02,191.0,16.01,A_a_AC_TP 1.0
A,a,AC,TP 1.0,2024-02-09,16.0,32.01,A_a_AC_TP 1.0
A,a,AC,TP 1.0,2024-02-16,36.0,34.01,A_a_AC_TP 1.0
A,a,AC,TP 1.0,2024-02-23,30.0,25.01,A_a_AC_TP 1.0
A,a,AC,TP 1.0,2024-03-01,29.0,38.01,A_a_AC_TP 1.0
A,a,AC,TP 1.0,2024-03-08,27.0,30.01,A_a_AC_TP 1.0
A,a,AC,TP 1.0,2024-03-15,44.0,42.01,A_a_AC_TP 1.0
A,a,AC,TP 1.0,2024-03-22,29.0,76.01,A_a_AC_TP 1.0
A,a,AC,TP 1.0,2024-03-29,40.0,33.01,A_a_AC_TP 1.0
A,a,AC,TP 1.0,2024-04-05,8.0,0.01,A_a_AC_TP 1.0
A,a,AC,TP 1.0,2024-04-12,8.0,91.01,A_a_AC_TP 1.0
A,a,AC,TP 1.0,2024-04-19,16.0,44.01,A_a_AC_TP 1.0
A,a,AC,TP 1.0,2024-04-26,23.0,84.01,A_a_AC_TP 1.0
A,a,AC,TP 1.0,2024-05-03,0.0,12.01,A_a_AC_TP 1.0
A,a,AC,TP 1.0,2024-05-10,0.0,45.01,A_a_AC_TP 1.0
A,a,AC,TP 1.0,2024-05-17,0.0,63.01,A_a_AC_TP 1.0
A,a,AC,TP 1.0,2024-05-24,573.5090652704239,62.01,A_a_AC_TP 1.0
A,a,AC,TP 1.0,2024-05-31,49.447350025177,29.01,A_a_AC_TP 1.0
A,a,AC,TP 1.0,2024-06-07,18.480019292328507,0.01,A_a_AC_TP 1.0
A,a,AC,TP 1.0,2024-06-14,150.85073373559862,80.01,A_a_AC_TP 1.0
A,a,AC,TP 1.0,2024-06-21,150.85073373559862,51.01,A_a_AC_TP 1.0
A,a,AC,TP 1.0,2024-06-28,201.1343117263168,22.01,A_a_AC_TP 1.0
A,a,AC,TP 1.0,2024-07-05,56.20546638965607,36.01,A_a_AC_TP 1.0
A,a,AC,TP 1.0,2024-07-12,35.59679514169693,41.01,A_a_AC_TP 1.0
A,a,AC,TP 1.0,2024-07-19,64.82759761810303,25.01,A_a_AC_TP 1.0
A,a,AC,TP 1.0,2024-07-26,57.424028396606445,38.01,A_a_AC_TP 1.0
A,a,AC,TP 1.0,2024-08-02,15.384562402963638,25.01,A_a_AC_TP 1.0
A,a,AC,TP 1.0,2024-08-09,15.384562402963638,25.01,A_a_AC_TP 1.0
A,a,AC,TP 1.0,2024-08-16,41.078030705451965,58.01,A_a_AC_TP 1.0
A,a,AC,TP 1.0,2024-08-23,24.646817922592163,22.01,A_a_AC_TP 1.0
A,a,AC,TP 1.0,2024-08-30,24.05864769220352,53.01,A_a_AC_TP 1.0
A,a,AC,TP 1.0,2024-09-06,36.0879722237587,37.01,A_a_AC_TP 1.0
A,a,AC,TP 1.0,2024-09-13,37.267324924468994,58.01,A_a_AC_TP 1.0
